id,station_code,station_name_tw,station_name_en,line_code,line_name,zipcode,address,lat,lon
O47,O50,三重國小,Sanchong Elementary School,O,中和新蘆線,24149,新北市三重區三和路三段5號B1,25.070319,121.496904
O59,O21,迴龍,Huilong,O,中和新蘆線,24257,新北市新莊區中正路758號B1,25.021862,121.41127
O60,O20,丹鳳,Danfeng,O,中和新蘆線,24256,新北市新莊區中正路624之1號B1,25.0288671,121.4227079
O1,O19,輔大,Fu Jen University,O,中和新蘆線,24205,新北市新莊區中正路510之1號B1,25.032718,121.43547
O2,O18,新莊,Xinzhuang,O,中和新蘆線,24243,新北市新莊區中正路138號B1,25.036125,121.452468
O3,O17,頭前庄,Touqianzhuang,O,中和新蘆線,24251,新北市新莊區思源路18號B1,25.039705,121.461746
O4,O16,先嗇宮,Xianse Temple,O,中和新蘆線,24158,新北市三重區重新路五段515號B1,25.046493,121.471916
O5,O15,三重,Sanchong,O,中和新蘆線,24161,新北市三重區捷運路36號B1,25.055791,121.484725
O6,O14,菜寮,Cailiao,O,中和新蘆線,24143,新北市三重區重新路三段150號B1,25.060274,121.492156
O7,O13,台北橋,Taipei Bridge,O,中和新蘆線,24142,新北市三重區重新路一段108號B1,25.063274,121.500762
O8,O12,大橋頭,Daqiaotou,O,中和新蘆線,10357,台北市大同區民權西路223號B1,25.063256,121.51272
O9,O11,民權西路,Minquan W. Rd.,O,中和新蘆線,10365,台北市大同區民權西路72號,25.062905,121.51932
O10,O10,中山國小,Zhongshan Elementary School,O,中和新蘆線,10452,台北市中山區民權東路一段71號B1,25.062694,121.526419
O11,O09,行天宮,Xingtian Temple,O,中和新蘆線,10468,台北市中山區松江路316號B1,25.059718,121.533185
O12,O08,松江南京,Songjiang Nanjing,O,中和新蘆線,10457,台北市中山區松江路126號B1,25.052015,121.533075
O13,O07,忠孝新生,Zhongxiao Xinsheng,O,中和新蘆線,10652,台北市大安區新生南路一段67號,25.042356,121.532905
O14,O06,東門,Dongmen,O,中和新蘆線,10650,台北市大安區信義路二段166號B1,25.033847,121.528739
O15,O05,古亭,Guting,O,中和新蘆線,10084,台北市中正區羅斯福路二段164之1號B1,25.026357,121.522873
O16,O04,頂溪,Dingxi,O,中和新蘆線,23445,新北市永和區永和路二段168號B1,25.013821,121.515485
O17,O03,永安市場,Yongan Market,O,中和新蘆線,23574,新北市中和區中和路388號,25.002876,121.511231
O18,O02,景安,Jingan,O,中和新蘆線,23582,新北市中和區景平路486號,24.993905,121.505113
O19,O01,南勢角,Nanshijiao,O,中和新蘆線,23566,新北市中和區捷運路6號,24.990045,121.509237
BL18,BL23,南港展覽館,Taipei Nangang Exhibition Center,BL,板南線,11568,台北市南港區研究院路一段1號,25.055288,121.6175001
BL17,BL22,南港,Nangang,BL,板南線,11561,台北市南港區忠孝東路七段380號,25.052116,121.606686
BL16,BL21,昆陽,Kunyang,BL,板南線,11558,台北市南港區忠孝東路六段451號,25.050461,121.593268
BL15,BL20,後山埤,Houshanpi,BL,板南線,11575,台北市南港區忠孝東路六段2號,25.045055,121.582522
BL14,BL19,永春,Yongchun,BL,板南線,11061,台北市信義區忠孝東路五段455號,25.040859,121.576293
BL13,BL18,市政府,Taipei City Hall,BL,板南線,11071,台北市信義區忠孝東路五段2號,25.041171,121.565228
BL12,BL17,國父紀念館,Sun Yat-Sen Memorial Hall,BL,板南線,11072,台北市信義區忠孝東路四段400號,25.041349,121.557802
BL11,BL16,忠孝敦化,Zhongxiao Dunhua,BL,板南線,10686,台北市大安區忠孝東路四段182號,25.041478,121.551098
BL10,BL15,忠孝復興,Zhongxiao Fuxing,BL,板南線,10654,台北市大安區忠孝東路四段47號,25.041629,121.543767
BL9,BL14,忠孝新生,Zhongxiao Xinsheng,BL,板南線,10652,台北市大安區新生南路一段67號,25.042356,121.532905
BL8,BL13,善導寺,Shandao Temple,BL,板南線,10049,台北市中正區忠孝東路一段58號B1,25.044823,121.523208
BL7,BL12,台北車站,Taipei Main Station,BL,板南線,10041,台北市中正區忠孝西路一段49號,25.046255,121.517532
BL6,BL11,西門,Ximen,BL,板南線,10042,台北市中正區寶慶路32之1號B1,25.04209,121.508303
BL5,BL10,龍山寺,Longshan Temple,BL,板南線,10855,台北市萬華區西園路一段153號,25.03528,121.499826
BL4,BL09,江子翠,Jianzicui,BL,板南線,22044,新北市板橋區文化路二段296號B1,25.03001,121.47239
BL3,BL08,新埔,Xinpu,BL,板南線,22047,新北市板橋區民生路三段2號B1,25.023738,121.468361
BL2,BL07,板橋,Banqiao,BL,板南線,22041,新北市板橋區站前路5號B1,25.013618,121.462302
BL1,BL06,府中,Fuzhong,BL,板南線,22055,新北市板橋區縣民大道一段193號B1,25.008619,121.459409
BL40,BL05,亞東醫院,Far Eastern Hospital,BL,板南線,22060,新北市板橋區南雅南路二段17號B1,24.998037,121.452514
BL39,BL04,海山,Haishan,BL,板南線,23660,新北市土城區海山路39號B2,24.985339,121.448786
BL38,BL03,土城,Tucheng,BL,板南線,23671,新北市土城區金城路一段105號B1,24.973094,121.444362
BL37,BL02,永寧,Yongning,BL,板南線,23671,新北市土城區中央路三段105號B1,24.966726,121.436072
BL36,BL01,頂埔,Dingpu,BL,板南線,23671,新北市土城區中央路四段51-6號B3,24.96012,121.4205
R27,R22A,新北投,Xinbeitou,,新北投支線,11268,台北市北投區大業路700號,25.136933,121.50253
G1A,G03A,小碧潭,Xiaobitan,,小碧潭支線,23150,新北市新店區中央路151號4樓,24.971907,121.530339
